MITRE Enterprise ATT&CK v8.2,NIST CSF,CIS Controls v8
T1200,PR.DS-3,1
T1200,ID.AM-1,1
T1552.002,PR.AC-4,2
T1087.004,PR.AC-4,2
T1580,PR.AC-4,2
T1538,PR.AC-4,2
T1543,PR.AC-4,2
T1543.002,PR.AC-4,2
T1530,PR.AC-4,2
T1213,PR.AC-4,2
T1003.008,PR.AC-4,2
T1003.007,PR.AC-4,2
T1213.001,PR.AC-4,2
T1213.002,PR.AC-4,2
T1562,PR.AC-4,2
T1562.001,PR.AC-4,2
T1562.002,PR.AC-4,2
T1562.004,PR.AC-4,2
T1562.006,PR.AC-4,2
T1562.007,PR.AC-4,2
T1562.008,PR.AC-4,2
T1185,PR.AC-4,2
T1053.006,PR.AC-4,2
T1528,PR.AC-4,2
T1537,PR.AC-4,2
T1548,PR.AC-4,2
T1548.003,PR.AC-4,2
T1098.004,PR.AC-4,2
T1547.003,PR.AC-4,2
T1547.011,PR.AC-4,2
T1037,PR.AC-4,2
T1037.002,PR.AC-4,2
T1037.003,PR.AC-4,2
T1037.005,PR.AC-4,2
T1037.004,PR.AC-4,2
T1565,PR.AC-4,2
T1565.001,PR.AC-4,2
T1565.003,PR.AC-4,2
T1546.004,PR.AC-4,2
T1222,PR.AC-4,2
T1222.001,PR.AC-4,2
T1222.002,PR.AC-4,2
T1564.004,PR.AC-4,2
T1070,PR.AC-4,2
T1070.001,PR.AC-4,2
T1070.002,PR.AC-4,2
T1070.003,PR.AC-4,2
T1036,PR.AC-4,2
T1036.003,PR.AC-4,2
T1036.005,PR.AC-4,2
T1055.009,PR.AC-4,2
T1553.003,PR.AC-4,2
T1080,PR.AC-4,2
T1552,PR.AC-4,2
T1552.001,PR.AC-4,2
T1098.001,PR.AC-4,2
T1098.003,PR.AC-4,2
T1098.002,PR.AC-4,2
T1098,PR.AC-4,2
T1552.004,PR.AC-4,2
T1119,PR.DS-1,3
T1530,PR.DS-1,3
T1565,PR.DS-1,3
T1565.001,PR.DS-1,3
T1070,PR.DS-1,3
T1070.001,PR.DS-1,3
T1550.001,PR.DS-1,3
T1552.004,PR.DS-1,3
T1552,PR.DS-1,3
T1003.003,PR.DS-1,3
T1003,PR.DS-1,3
T1070.002,PR.DS-1,3
T1134.005,PR.IP-1,4
T1606.002,PR.IP-1,4
T1003,PR.IP-1,4
T1003.006,PR.IP-1,4
T1003.005,PR.IP-1,4
T1072,PR.IP-1,4
T1558,PR.IP-1,4
T1558.001,PR.IP-1,4
T1552,PR.IP-1,4
T1552.006,PR.IP-1,4
T1550.003,PR.IP-1,4
T1547.009,PR.IP-1,4
T1548,PR.IP-1,4
T1548.003,PR.IP-1,4
T1098.004,PR.IP-1,4
T1547.003,PR.IP-1,4
T1547.011,PR.IP-1,4
T1037,PR.IP-1,4
T1037.002,PR.IP-1,4
T1037.003,PR.IP-1,4
T1037.005,PR.IP-1,4
T1037.004,PR.IP-1,4
T1543,PR.IP-1,4
T1543.002,PR.IP-1,4
T1530,PR.IP-1,4
T1546.004,PR.IP-1,4
T1546.013,PR.IP-1,4
T1222,PR.IP-1,4
T1222.001,PR.IP-1,4
T1222.002,PR.IP-1,4
T1564.004,PR.IP-1,4
T1574,PR.IP-1,4
T1574.009,PR.IP-1,4
T1574.007,PR.IP-1,4
T1574.008,PR.IP-1,4
T1574.002,PR.IP-1,4
T1574.004,PR.IP-1,4
T1562,PR.IP-1,4
T1562.001,PR.IP-1,4
T1562.002,PR.IP-1,4
T1562.004,PR.IP-1,4
T1562.006,PR.IP-1,4
T1070,PR.IP-1,4
T1070.001,PR.IP-1,4
T1070.002,PR.IP-1,4
T1070.003,PR.IP-1,4
T1036,PR.IP-1,4
T1036.003,PR.IP-1,4
T1036.005,PR.IP-1,4
T1055.009,PR.IP-1,4
T1563.001,PR.IP-1,4
T1053.006,PR.IP-1,4
T1489,PR.IP-1,4
T1218.002,PR.IP-1,4
T1553.003,PR.IP-1,4
T1569,PR.IP-1,4
T1569.002,PR.IP-1,4
T1080,PR.IP-1,4
T1037.001,PR.IP-1,4
T1574.011,PR.IP-1,4
T1574.012,PR.IP-1,4
T1112,PR.IP-1,4
T1553,PR.IP-1,4
T1547.002,PR.IP-1,4
T1547.005,PR.IP-1,4
T1547.008,PR.IP-1,4
T1556,PR.IP-1,4
T1556.001,PR.IP-1,4
T1003.001,PR.IP-1,4
T1548.002,PR.IP-1,4
T1134,PR.IP-1,4
T1134.001,PR.IP-1,4
T1134.002,PR.IP-1,4
T1134.003,PR.IP-1,4
T1547.006,PR.IP-1,4
T1059,PR.IP-1,4
T1059.001,PR.IP-1,4
T1059.008,PR.IP-1,4
T1484,PR.IP-1,4
T1484.002,PR.IP-1,4
T1210,PR.IP-1,4
T1495,PR.IP-1,4
T1606,PR.IP-1,4
T1056.003,PR.IP-1,4
T1559,PR.IP-1,4
T1559.001,PR.IP-1,4
T1556.003,PR.IP-1,4
T1556.004,PR.IP-1,4
T1601,PR.IP-1,4
T1601.001,PR.IP-1,4
T1601.002,PR.IP-1,4
T1599,PR.IP-1,4
T1599.001,PR.IP-1,4
T1542,PR.IP-1,4
T1542.001,PR.IP-1,4
T1542.003,PR.IP-1,4
T1542.005,PR.IP-1,4
T1055,PR.IP-1,4
T1055.008,PR.IP-1,4
T1563,PR.IP-1,4
T1563.002,PR.IP-1,4
T1021.001,PR.IP-1,4
T1021.002,PR.IP-1,4
T1021.003,PR.IP-1,4
T1021.006,PR.IP-1,4
T1053,PR.IP-1,4
T1053.002,PR.IP-1,4
T1053.005,PR.IP-1,4
T1218,PR.IP-1,4
T1218.007,PR.IP-1,4
T1558.002,PR.IP-1,4
T1558.003,PR.IP-1,4
T1078.003,PR.IP-1,4
T1548.001,PR.IP-1,4
T1201,PR.IP-1,4
T1087,PR.IP-1,4
T1087.001,PR.IP-1,4
T1087.002,PR.IP-1,4
T1098,PR.IP-1,4
T1197,PR.IP-1,4
T1092,PR.IP-1,4
T1136,PR.IP-1,4
T1136.002,PR.IP-1,4
T1546.008,PR.IP-1,4
T1011,PR.IP-1,4
T1011.001,PR.IP-1,4
T1564.002,PR.IP-1,4
T1562.003,PR.IP-1,4
T1490,PR.IP-1,4
T1556.002,PR.IP-1,4
T1135,PR.IP-1,4
T1003.002,PR.IP-1,4
T1553.004,PR.IP-1,4
T1552.003,PR.IP-1,4
T1176,PR.IP-1,4
T1059.006,PR.IP-1,4
T1133,PR.IP-1,4
T1200,PR.IP-1,4
T1557,PR.IP-1,4
T1557.002,PR.IP-1,4
T1110,PR.IP-1,4
T1110.001,PR.IP-1,4
T1110.003,PR.IP-1,4
T1110.004,PR.IP-1,4
T1559.002,PR.IP-1,4
T1055.001,PR.IP-1,4
T1055.002,PR.IP-1,4
T1055.012,PR.IP-1,4
T1055.003,PR.IP-1,4
T1055.004,PR.IP-1,4
T1055.005,PR.IP-1,4
T1055.011,PR.IP-1,4
T1055.013,PR.IP-1,4
T1055.014,PR.IP-1,4
T1547.007,PR.IP-1,4
T1059.005,PR.IP-1,4
T1059.007,PR.IP-1,4
T1546.002,PR.IP-1,4
T1546.014,PR.IP-1,4
T1052,PR.IP-1,4
T1052.001,PR.IP-1,4
T1564.006,PR.IP-1,4
T1564.007,PR.IP-1,4
T1557.001,PR.IP-1,4
T1137,PR.IP-1,4
T1137.001,PR.IP-1,4
T1021.004,PR.IP-1,4
T1091,PR.IP-1,4
T1218.003,PR.IP-1,4
T1218.004,PR.IP-1,4
T1218.005,PR.IP-1,4
T1218.009,PR.IP-1,4
T1218.008,PR.IP-1,4
T1218.012,PR.IP-1,4
T1221,PR.IP-1,4
T1127,PR.IP-1,4
T1127.001,PR.IP-1,4
T1552.005,PR.IP-1,4
T1574.001,PR.IP-1,4
T1059.002,PR.IP-1,4
T1554,PR.IP-1,4
T1546.006,PR.IP-1,4
T1525,PR.IP-1,4
T1036.001,PR.IP-1,4
T1505,PR.IP-1,4
T1505.002,PR.IP-1,4
T1505.001,PR.IP-1,4
T1542.004,PR.IP-1,4
T1195.003,PR.IP-1,4
T1087.004,PR.IP-1,4
T1543.003,PR.IP-1,4
T1484.001,PR.IP-1,4
T1482,PR.IP-1,4
T1606.001,PR.IP-1,4
T1574.010,PR.IP-1,4
T1574.005,PR.IP-1,4
T1562.007,PR.IP-1,4
T1528,PR.IP-1,4
T1558.004,PR.IP-1,4
T1550.001,PR.IP-1,4
T1546.011,PR.IP-1,4
T1199,PR.IP-1,4
T1550.002,PR.IP-1,4
T1602,PR.IP-1,4
T1602.001,PR.IP-1,4
T1602.002,PR.IP-1,4
T1137.002,PR.IP-1,4
T1539,PR.IP-1,4
T1535,PR.IP-1,4
T1550.004,PR.IP-1,4
T1098,PR.IP-1,5
T1098.001,PR.IP-1,5
T1136,PR.IP-1,5
T1136.002,PR.IP-1,5
T1136.003,PR.IP-1,5
T1048,PR.IP-1,5
T1048.001,PR.IP-1,5
T1048.002,PR.IP-1,5
T1048.003,PR.IP-1,5
T1133,PR.IP-1,5
T1095,PR.IP-1,5
T1571,PR.IP-1,5
T1563,PR.IP-1,5
T1563.002,PR.IP-1,5
T1021.001,PR.IP-1,5
T1602,PR.IP-1,5
T1602.001,PR.IP-1,5
T1602.002,PR.IP-1,5
T1546.008,PR.IP-1,5
T1200,PR.IP-1,5
T1557,PR.IP-1,5
T1557.002,PR.IP-1,5
T1542.005,PR.IP-1,5
T1021.002,PR.IP-1,5
T1071.004,PR.IP-1,5
T1197,PR.IP-1,5
T1530,PR.IP-1,5
T1499,PR.IP-1,5
T1499.001,PR.IP-1,5
T1499.002,PR.IP-1,5
T1499.003,PR.IP-1,5
T1499.004,PR.IP-1,5
T1187,PR.IP-1,5
T1570,PR.IP-1,5
T1557.001,PR.IP-1,5
T1599,PR.IP-1,5
T1599.001,PR.IP-1,5
T1572,PR.IP-1,5
T1090,PR.IP-1,5
T1090.003,PR.IP-1,5
T1219,PR.IP-1,5
T1021.005,PR.IP-1,5
T1218.012,PR.IP-1,5
T1205,PR.IP-1,5
T1205.001,PR.IP-1,5
T1537,PR.IP-1,5
T1552,PR.IP-1,5
T1552.005,PR.IP-1,5
T1020.001,PR.IP-1,5
T1040,PR.IP-1,5
T1562.006,PR.IP-1,5
T1134,PR.AC-1,6
T1134.001,PR.AC-1,6
T1134.002,PR.AC-1,6
T1134.003,PR.AC-1,6
T1087.004,PR.AC-1,6
T1197,PR.AC-1,6
T1547.004,PR.AC-1,6
T1547.009,PR.AC-1,6
T1580,PR.AC-1,6
T1538,PR.AC-1,6
T1059.008,PR.AC-1,6
T1543,PR.AC-1,6
T1543.001,PR.AC-1,6
T1543.002,PR.AC-1,6
T1543.003,PR.AC-1,6
T1543.004,PR.AC-1,6
T1530,PR.AC-1,6
T1213,PR.AC-1,6
T1213.001,PR.AC-1,6
T1213.002,PR.AC-1,6
T1484,PR.AC-1,6
T1484.001,PR.AC-1,6
T1546.003,PR.AC-1,6
T1606,PR.AC-1,6
T1606.002,PR.AC-1,6
T1574,PR.AC-1,6
T1574.010,PR.AC-1,6
T1574.005,PR.AC-1,6
T1574.012,PR.AC-1,6
T1562,PR.AC-1,6
T1562.001,PR.AC-1,6
T1562.002,PR.AC-1,6
T1562.004,PR.AC-1,6
T1562.006,PR.AC-1,6
T1562.007,PR.AC-1,6
T1562.008,PR.AC-1,6
T1185,PR.AC-1,6
T1578,PR.AC-1,6
T1578.002,PR.AC-1,6
T1578.001,PR.AC-1,6
T1578.003,PR.AC-1,6
T1563,PR.AC-1,6
T1563.002,PR.AC-1,6
T1021,PR.AC-1,6
T1021.001,PR.AC-1,6
T1021.004,PR.AC-1,6
T1053,PR.AC-1,6
T1053.002,PR.AC-1,6
T1053.005,PR.AC-1,6
T1053.001,PR.AC-1,6
T1053.004,PR.AC-1,6
T1053.003,PR.AC-1,6
T1053.006,PR.AC-1,6
T1489,PR.AC-1,6
T1072,PR.AC-1,6
T1569,PR.AC-1,6
T1569.001,PR.AC-1,6
T1537,PR.AC-1,6
T1550,PR.AC-1,6
T1550.002,PR.AC-1,6
T1550.003,PR.AC-1,6
T1078.004,PR.AC-1,6
T1047,PR.AC-1,6
T1548,PR.AC-1,6
T1548.003,PR.AC-1,6
T1098.004,PR.AC-1,6
T1547.003,PR.AC-1,6
T1547.011,PR.AC-1,6
T1037,PR.AC-1,6
T1037.002,PR.AC-1,6
T1037.003,PR.AC-1,6
T1037.005,PR.AC-1,6
T1037.004,PR.AC-1,6
T1565,PR.AC-1,6
T1565.001,PR.AC-1,6
T1565.003,PR.AC-1,6
T1546.004,PR.AC-1,6
T1546.013,PR.AC-1,6
T1222,PR.AC-1,6
T1222.001,PR.AC-1,6
T1222.002,PR.AC-1,6
T1564.004,PR.AC-1,6
T1574.009,PR.AC-1,6
T1574.007,PR.AC-1,6
T1574.008,PR.AC-1,6
T1574.002,PR.AC-1,6
T1574.004,PR.AC-1,6
T1070,PR.AC-1,6
T1070.001,PR.AC-1,6
T1070.002,PR.AC-1,6
T1070.003,PR.AC-1,6
T1036,PR.AC-1,6
T1036.003,PR.AC-1,6
T1036.005,PR.AC-1,6
T1055.009,PR.AC-1,6
T1563.001,PR.AC-1,6
T1218.002,PR.AC-1,6
T1553.003,PR.AC-1,6
T1569.002,PR.AC-1,6
T1080,PR.AC-1,6
T1552,PR.AC-1,6
T1552.001,PR.AC-1,6
T1552.004,PR.AC-1,6
T1548.002,PR.AC-1,6
T1098,PR.AC-1,6
T1098.002,PR.AC-1,6
T1098.003,PR.AC-1,6
T1098.001,PR.AC-1,6
T1547.006,PR.AC-1,6
T1059,PR.AC-1,6
T1059.001,PR.AC-1,6
T1136,PR.AC-1,6
T1136.001,PR.AC-1,6
T1136.002,PR.AC-1,6
T1136.003,PR.AC-1,6
T1484.002,PR.AC-1,6
T1190,PR.AC-1,6
T1210,PR.AC-1,6
T1525,PR.AC-1,6
T1056.003,PR.AC-1,6
T1556,PR.AC-1,6
T1556.001,PR.AC-1,6
T1556.003,PR.AC-1,6
T1556.004,PR.AC-1,6
T1601,PR.AC-1,6
T1601.001,PR.AC-1,6
T1601.002,PR.AC-1,6
T1599,PR.AC-1,6
T1599.001,PR.AC-1,6
T1003,PR.AC-1,6
T1003.006,PR.AC-1,6
T1003.001,PR.AC-1,6
T1003.002,PR.AC-1,6
T1003.007,PR.AC-1,6
T1003.008,PR.AC-1,6
T1003.005,PR.AC-1,6
T1003.004,PR.AC-1,6
T1003.003,PR.AC-1,6
T1542,PR.AC-1,6
T1542.001,PR.AC-1,6
T1542.003,PR.AC-1,6
T1542.005,PR.AC-1,6
T1055,PR.AC-1,6
T1055.008,PR.AC-1,6
T1021.002,PR.AC-1,6
T1021.006,PR.AC-1,6
T1505,PR.AC-1,6
T1505.002,PR.AC-1,6
T1505.001,PR.AC-1,6
T1218,PR.AC-1,6
T1218.007,PR.AC-1,6
T1558,PR.AC-1,6
T1558.001,PR.AC-1,6
T1552.002,PR.AC-1,6
T1078,PR.AC-1,6
T1078.002,PR.AC-1,6
T1078.003,PR.AC-1,6
T1606.001,PR.AC-1,6
T1098,PR.AC-3,7
T1098.002,PR.AC-3,7
T1098.001,PR.AC-3,7
T1110,PR.AC-3,7
T1110.001,PR.AC-3,7
T1110.002,PR.AC-3,7
T1110.003,PR.AC-3,7
T1110.004,PR.AC-3,7
T1136,PR.AC-3,7
T1136.001,PR.AC-3,7
T1136.002,PR.AC-3,7
T1136.003,PR.AC-3,7
T1530,PR.AC-3,7
T1114.002,PR.AC-3,7
T1133,PR.AC-3,7
T1556,PR.AC-3,7
T1556.001,PR.AC-3,7
T1556.003,PR.AC-3,7
T1556.004,PR.AC-3,7
T1601,PR.AC-3,7
T1601.001,PR.AC-3,7
T1601.002,PR.AC-3,7
T1599,PR.AC-3,7
T1599.001,PR.AC-3,7
T1040,PR.AC-3,7
T1021,PR.AC-3,7
T1021.001,PR.AC-3,7
T1021.004,PR.AC-3,7
T1072,PR.AC-3,7
T1078.002,PR.AC-3,7
T1078.004,PR.AC-3,7
T1098,PR.AC-7,7
T1098.002,PR.AC-7,7
T1098.001,PR.AC-7,7
T1110,PR.AC-7,7
T1110.001,PR.AC-7,7
T1110.002,PR.AC-7,7
T1110.003,PR.AC-7,7
T1110.004,PR.AC-7,7
T1136,PR.AC-7,7
T1136.001,PR.AC-7,7
T1136.002,PR.AC-7,7
T1136.003,PR.AC-7,7
T1530,PR.AC-7,7
T1114.002,PR.AC-7,7
T1133,PR.AC-7,7
T1556,PR.AC-7,7
T1556.001,PR.AC-7,7
T1556.003,PR.AC-7,7
T1556.004,PR.AC-7,7
T1601,PR.AC-7,7
T1601.001,PR.AC-7,7
