MITRE Enterprise ATT&CK v8.2,NIST CSF,CIS Controls v8
T1601.002,PR.AC-7,7
T1599,PR.AC-7,7
T1599.001,PR.AC-7,7
T1040,PR.AC-7,7
T1021,PR.AC-7,7
T1021.001,PR.AC-7,7
T1021.004,PR.AC-7,7
T1072,PR.AC-7,7
T1078.002,PR.AC-7,7
T1078.004,PR.AC-7,7
T1098,PR.AC-7,8
T1098.002,PR.AC-7,8
T1098.003,PR.AC-7,8
T1098.001,PR.AC-7,8
T1110,PR.AC-7,8
T1110.001,PR.AC-7,8
T1110.002,PR.AC-7,8
T1110.003,PR.AC-7,8
T1110.004,PR.AC-7,8
T1136,PR.AC-7,8
T1136.001,PR.AC-7,8
T1136.002,PR.AC-7,8
T1136.003,PR.AC-7,8
T1530,PR.AC-7,8
T1114,PR.AC-7,8
T1114.002,PR.AC-7,8
T1133,PR.AC-7,8
T1556,PR.AC-7,8
T1556.001,PR.AC-7,8
T1556.003,PR.AC-7,8
T1556.004,PR.AC-7,8
T1601,PR.AC-7,8
T1601.001,PR.AC-7,8
T1601.002,PR.AC-7,8
T1599,PR.AC-7,8
T1599.001,PR.AC-7,8
T1040,PR.AC-7,8
T1021,PR.AC-7,8
T1021.001,PR.AC-7,8
T1021.004,PR.AC-7,8
T1072,PR.AC-7,8
T1078.002,PR.AC-7,8
T1078.004,PR.AC-7,8
T1134,PR.AC-4,9
T1134.001,PR.AC-4,9
T1134.002,PR.AC-4,9
T1134.003,PR.AC-4,9
T1087.004,PR.AC-4,9
T1197,PR.AC-4,9
T1547.004,PR.AC-4,9
T1547.009,PR.AC-4,9
T1547.012,PR.AC-4,9
T1580,PR.AC-4,9
T1538,PR.AC-4,9
T1059.008,PR.AC-4,9
T1543,PR.AC-4,9
T1543.001,PR.AC-4,9
T1543.002,PR.AC-4,9
T1543.003,PR.AC-4,9
T1543.004,PR.AC-4,9
T1530,PR.AC-4,9
T1213,PR.AC-4,9
T1213.001,PR.AC-4,9
T1213.002,PR.AC-4,9
T1484,PR.AC-4,9
T1484.001,PR.AC-4,9
T1546.003,PR.AC-4,9
T1606,PR.AC-4,9
T1606.002,PR.AC-4,9
T1574,PR.AC-4,9
T1574.010,PR.AC-4,9
T1574.005,PR.AC-4,9
T1574.012,PR.AC-4,9
T1562,PR.AC-4,9
T1562.001,PR.AC-4,9
T1562.002,PR.AC-4,9
T1562.004,PR.AC-4,9
T1562.006,PR.AC-4,9
T1562.007,PR.AC-4,9
T1562.008,PR.AC-4,9
T1185,PR.AC-4,9
T1578,PR.AC-4,9
T1578.002,PR.AC-4,9
T1578.001,PR.AC-4,9
T1578.003,PR.AC-4,9
T1563,PR.AC-4,9
T1563.002,PR.AC-4,9
T1021,PR.AC-4,9
T1021.001,PR.AC-4,9
T1021.004,PR.AC-4,9
T1053,PR.AC-4,9
T1053.002,PR.AC-4,9
T1053.005,PR.AC-4,9
T1053.001,PR.AC-4,9
T1053.004,PR.AC-4,9
T1053.003,PR.AC-4,9
T1053.006,PR.AC-4,9
T1489,PR.AC-4,9
T1072,PR.AC-4,9
T1569,PR.AC-4,9
T1569.001,PR.AC-4,9
T1537,PR.AC-4,9
T1550.003,PR.AC-4,9
T1078.004,PR.AC-4,9
T1047,PR.AC-4,9
T1548,PR.AC-4,9
T1548.003,PR.AC-4,9
T1098.004,PR.AC-4,9
T1547.003,PR.AC-4,9
T1547.011,PR.AC-4,9
T1037,PR.AC-4,9
T1037.002,PR.AC-4,9
T1037.003,PR.AC-4,9
T1037.004,PR.AC-4,9
T1565,PR.AC-4,9
T1565.001,PR.AC-4,9
T1565.003,PR.AC-4,9
T1546.004,PR.AC-4,9
T1546.013,PR.AC-4,9
T1222,PR.AC-4,9
T1222.001,PR.AC-4,9
T1222.002,PR.AC-4,9
T1564.004,PR.AC-4,9
T1574.009,PR.AC-4,9
T1574.007,PR.AC-4,9
T1574.008,PR.AC-4,9
T1574.002,PR.AC-4,9
T1574.004,PR.AC-4,9
T1070,PR.AC-4,9
T1070.001,PR.AC-4,9
T1070.002,PR.AC-4,9
T1070.003,PR.AC-4,9
T1036,PR.AC-4,9
T1036.003,PR.AC-4,9
T1036.005,PR.AC-4,9
T1055.009,PR.AC-4,9
T1563.001,PR.AC-4,9
T1218.002,PR.AC-4,9
T1553.003,PR.AC-4,9
T1569.002,PR.AC-4,9
T1080,PR.AC-4,9
T1552,PR.AC-4,9
T1552.001,PR.AC-4,9
T1552.004,PR.AC-4,9
T1548.002,PR.AC-4,9
T1547.006,PR.AC-4,9
T1059,PR.AC-4,9
T1059.001,PR.AC-4,9
T1484.002,PR.AC-4,9
T1190,PR.AC-4,9
T1210,PR.AC-4,9
T1495,PR.AC-4,9
T1525,PR.AC-4,9
T1556,PR.AC-4,9
T1556.001,PR.AC-4,9
T1556.003,PR.AC-4,9
T1556.004,PR.AC-4,9
T1601,PR.AC-4,9
T1601.001,PR.AC-4,9
T1601.002,PR.AC-4,9
T1599,PR.AC-4,9
T1599.001,PR.AC-4,9
T1003,PR.AC-4,9
T1003.006,PR.AC-4,9
T1003.001,PR.AC-4,9
T1003.002,PR.AC-4,9
T1003.007,PR.AC-4,9
T1003.008,PR.AC-4,9
T1003.005,PR.AC-4,9
T1003.004,PR.AC-4,9
T1003.003,PR.AC-4,9
T1542,PR.AC-4,9
T1542.001,PR.AC-4,9
T1542.003,PR.AC-4,9
T1542.005,PR.AC-4,9
T1055,PR.AC-4,9
T1055.008,PR.AC-4,9
T1021.002,PR.AC-4,9
T1021.006,PR.AC-4,9
T1218,PR.AC-4,9
T1218.007,PR.AC-4,9
T1558,PR.AC-4,9
T1558.001,PR.AC-4,9
T1558.002,PR.AC-4,9
T1558.003,PR.AC-4,9
T1552.002,PR.AC-4,9
T1078,PR.AC-4,9
T1078.002,PR.AC-4,9
T1078.003,PR.AC-4,9
T1606.001,PR.AC-4,9
T1190,ID.RA-1,10
T1210,ID.RA-1,10
T1548.002,ID.RA-1,10
T1189,ID.RA-1,10
T1546.010,ID.RA-1,10
T1546.011,ID.RA-1,10
T1212,ID.RA-1,10
T1211,ID.RA-1,10
T1068,ID.RA-1,10
T1495,ID.RA-1,10
T1574,ID.RA-1,10
T1574.002,ID.RA-1,10
T1137,ID.RA-1,10
T1137.005,ID.RA-1,10
T1137.003,ID.RA-1,10
T1137.004,ID.RA-1,10
T1542,ID.RA-1,10
T1542.001,ID.RA-1,10
T1072,ID.RA-1,10
T1195,ID.RA-1,10
T1195.001,ID.RA-1,10
T1195.002,ID.RA-1,10
T1552,ID.RA-1,10
T1552.006,ID.RA-1,10
T1550.002,ID.RA-1,10
T1210,DE.CM-8,11
T1548.002,DE.CM-8,11
T1189,DE.CM-8,11
T1546.010,DE.CM-8,11
T1546.011,DE.CM-8,11
T1212,DE.CM-8,11
T1211,DE.CM-8,11
T1068,DE.CM-8,11
T1495,DE.CM-8,11
T1574,DE.CM-8,11
T1574.002,DE.CM-8,11
T1137,DE.CM-8,11
T1137.005,DE.CM-8,11
T1137.003,DE.CM-8,11
T1137.004,DE.CM-8,11
T1542,DE.CM-8,11
T1542.001,DE.CM-8,11
T1072,DE.CM-8,11
T1195,DE.CM-8,11
T1195.001,DE.CM-8,11
T1195.002,DE.CM-8,11
T1552,DE.CM-8,11
T1552.006,DE.CM-8,11
T1550.002,DE.CM-8,11
T1190,PR.IP-12,12
T1602,PR.IP-12,12
T1602.001,PR.IP-12,12
T1602.002,PR.IP-12,12
T1499,PR.IP-12,12
T1499.001,PR.IP-12,12
T1499.002,PR.IP-12,12
T1499.003,PR.IP-12,12
T1499.004,PR.IP-12,12
T1048,PR.IP-12,12
T1048.001,PR.IP-12,12
T1048.002,PR.IP-12,12
T1048.003,PR.IP-12,12
T1187,PR.IP-12,12
T1570,PR.IP-12,12
T1557,PR.IP-12,12
T1557.001,PR.IP-12,12
T1498,PR.IP-12,12
T1498.001,PR.IP-12,12
T1498.002,PR.IP-12,12
T1095,PR.IP-12,12
T1219,PR.IP-12,12
T1021.005,PR.IP-12,12
T1021.002,PR.IP-12,12
T1218.012,PR.IP-12,12
T1098.004,PR.IP-12,12
T1210,PR.IP-12,12
T1133,PR.IP-12,12
T1557.002,PR.IP-12,12
T1046,PR.IP-12,12
T1563,PR.IP-12,12
T1563.002,PR.IP-12,12
T1021.001,PR.IP-12,12
T1021.004,PR.IP-12,12
T1021.006,PR.IP-12,12
T1190,ID.RA-5,12
T1602,ID.RA-5,12
T1602.001,ID.RA-5,12
T1602.002,ID.RA-5,12
T1499,ID.RA-5,12
T1499.001,ID.RA-5,12
T1499.002,ID.RA-5,12
T1499.003,ID.RA-5,12
T1499.004,ID.RA-5,12
T1048,ID.RA-5,12
T1048.001,ID.RA-5,12
T1048.002,ID.RA-5,12
T1048.003,ID.RA-5,12
T1187,ID.RA-5,12
T1570,ID.RA-5,12
T1557,ID.RA-5,12
T1557.001,ID.RA-5,12
T1498,ID.RA-5,12
T1498.001,ID.RA-5,12
T1498.002,ID.RA-5,12
T1095,ID.RA-5,12
T1219,ID.RA-5,12
T1021.005,ID.RA-5,12
T1021.002,ID.RA-5,12
T1218.012,ID.RA-5,12
T1098.004,ID.RA-5,12
T1210,ID.RA-5,12
T1133,ID.RA-5,12
T1557.002,ID.RA-5,12
T1046,ID.RA-5,12
T1563,ID.RA-5,12
T1563.002,ID.RA-5,12
T1021.001,ID.RA-5,12
T1021.004,ID.RA-5,12
T1021.006,ID.RA-5,12
T1053.001,RS.AN-1,13
T1053.004,RS.AN-1,13
T1053.003,RS.AN-1,13
T1053.001,DE.AE-2,13
T1053.004,DE.AE-2,13
T1053.003,DE.AE-2,13
T1053.001,PR.PT-1,13
T1053.004,PR.PT-1,13
T1053.003,PR.PT-1,13
T1547.006,DE.CM-4,14
T1059,DE.CM-4,14
T1059.005,DE.CM-4,14
T1059.001,DE.CM-4,14
T1059.006,DE.CM-4,14
T1027,DE.CM-4,14
T1027.002,DE.CM-4,14
T1547.006,DE.CM-4,15
T1059,DE.CM-4,15
T1059.005,DE.CM-4,15
T1059.001,DE.CM-4,15
T1059.006,DE.CM-4,15
T1027,DE.CM-4,15
T1027.002,DE.CM-4,15
T1059.008,PR.AC-5,16
T1190,PR.AC-5,16
T1056.003,PR.AC-5,16
T1556,PR.AC-5,16
T1556.004,PR.AC-5,16
T1601,PR.AC-5,16
T1601.001,PR.AC-5,16
T1601.002,PR.AC-5,16
T1599,PR.AC-5,16
T1599.001,PR.AC-5,16
T1098,PR.AC-5,16
T1098.001,PR.AC-5,16
T1136,PR.AC-5,16
T1136.002,PR.AC-5,16
T1136.003,PR.AC-5,16
T1602,PR.AC-5,16
T1602.001,PR.AC-5,16
T1602.002,PR.AC-5,16
T1565,PR.AC-5,16
T1565.003,PR.AC-5,16
T1482,PR.AC-5,16
T1048,PR.AC-5,16
T1048.001,PR.AC-5,16
T1048.002,PR.AC-5,16
T1048.003,PR.AC-5,16
T1210,PR.AC-5,16
T1133,PR.AC-5,16
T1557,PR.AC-5,16
T1557.001,PR.AC-5,16
T1046,PR.AC-5,16
T1095,PR.AC-5,16
T1571,PR.AC-5,16
T1563,PR.AC-5,16
T1563.002,PR.AC-5,16
T1021.001,PR.AC-5,16
T1021.003,PR.AC-5,16
T1021.006,PR.AC-5,16
T1489,PR.AC-5,16
T1072,PR.AC-5,16
T1199,PR.AC-5,16
T1546.008,PR.AC-5,16
T1200,PR.AC-5,16
T1557.002,PR.AC-5,16
T1542.005,PR.AC-5,16
T1021.002,PR.AC-5,16
T1071,DE.CM-1,17
T1071.001,DE.CM-1,17
T1071.002,DE.CM-1,17
T1071.003,DE.CM-1,17
T1071.004,DE.CM-1,17
T1132,DE.CM-1,17
T1132.001,DE.CM-1,17
T1132.002,DE.CM-1,17
T1602,DE.CM-1,17
T1602.001,DE.CM-1,17
T1602.002,DE.CM-1,17
T1001,DE.CM-1,17
T1001.001,DE.CM-1,17
T1001.002,DE.CM-1,17
T1001.003,DE.CM-1,17
T1030,DE.CM-1,17
T1568,DE.CM-1,17
T1568.002,DE.CM-1,17
T1573,DE.CM-1,17
T1573.001,DE.CM-1,17
T1573.002,DE.CM-1,17
T1048,DE.CM-1,17
T1048.001,DE.CM-1,17
T1048.002,DE.CM-1,17
T1048.003,DE.CM-1,17
T1041,DE.CM-1,17
T1008,DE.CM-1,17
T1105,DE.CM-1,17
T1570,DE.CM-1,17
T1557,DE.CM-1,17
T1557.001,DE.CM-1,17
T1557.002,DE.CM-1,17
T1104,DE.CM-1,17
T1046,DE.CM-1,17
T1095,DE.CM-1,17
T1571,DE.CM-1,17
T1566,DE.CM-1,17
T1566.001,DE.CM-1,17
T1542.005,DE.CM-1,17
T1542.004,DE.CM-1,17
T1572,DE.CM-1,17
T1090,DE.CM-1,17
T1090.001,DE.CM-1,17
T1090.002,DE.CM-1,17
T1219,DE.CM-1,17
T1029,DE.CM-1,17
T1221,DE.CM-1,17
T1204,DE.CM-1,17
T1204.001,DE.CM-1,17
T1102,DE.CM-1,17
T1102.001,DE.CM-1,17
T1102.002,DE.CM-1,17
T1102.003,DE.CM-1,17
T1546.008,DE.CM-7,18
T1133,DE.CM-7,18
T1563.002,DE.CM-7,18
T1021.001,DE.CM-7,18
T1546.008,PR.MA-2,18
T1133,PR.MA-2,18
T1563.002,PR.MA-2,18
T1021.001,PR.MA-2,18
T1546.008,PR.AC-7,18
T1133,PR.AC-7,18
T1563.002,PR.AC-7,18
T1021.001,PR.AC-7,18
T1546.008,PR.AC-3,18
T1133,PR.AC-3,18
T1563.002,PR.AC-3,18
T1021.001,PR.AC-3,18
T1213,PR.AT-1,19
T1213.001,PR.AT-1,19
T1213.002,PR.AT-1,19
T1056.002,PR.AT-1,19
T1003,PR.AT-1,19
T1003.001,PR.AT-1,19
T1003.002,PR.AT-1,19
T1003.005,PR.AT-1,19
T1003.004,PR.AT-1,19
T1003.003,PR.AT-1,19
T1566,PR.AT-1,19
T1566.001,PR.AT-1,19
T1566.002,PR.AT-1,19
T1566.003,PR.AT-1,19
T1598,PR.AT-1,19
T1598.001,PR.AT-1,19
T1598.002,PR.AT-1,19
T1598.003,PR.AT-1,19
T1528,PR.AT-1,19
T1539,PR.AT-1,19
T1221,PR.AT-1,19
T1111,PR.AT-1,19
T1204,PR.AT-1,19
T1204.001,PR.AT-1,19
T1204.002,PR.AT-1,19
T1213,ID.GV-1,19
T1213.001,ID.GV-1,19
T1213.002,ID.GV-1,19
T1056.002,ID.GV-1,19
T1003,ID.GV-1,19
T1003.001,ID.GV-1,19
T1003.002,ID.GV-1,19
T1003.005,ID.GV-1,19
T1003.004,ID.GV-1,19
T1003.003,ID.GV-1,19
T1566,ID.GV-1,19
T1566.001,ID.GV-1,19
T1566.002,ID.GV-1,19
T1566.003,ID.GV-1,19
T1598,ID.GV-1,19
T1598.001,ID.GV-1,19
T1598.002,ID.GV-1,19
T1598.003,ID.GV-1,19
T1528,ID.GV-1,19
T1539,ID.GV-1,19
T1221,ID.GV-1,19
T1111,ID.GV-1,19
T1204,ID.GV-1,19
T1204.001,ID.GV-1,19
T1204.002,ID.GV-1,19
T1213,ID.AM-6,19
T1213.001,ID.AM-6,19
T1213.002,ID.AM-6,19
T1056.002,ID.AM-6,19
T1003,ID.AM-6,19
T1003.001,ID.AM-6,19
T1003.002,ID.AM-6,19
T1003.005,ID.AM-6,19
T1003.004,ID.AM-6,19
T1003.003,ID.AM-6,19
T1566,ID.AM-6,19
T1566.001,ID.AM-6,19
T1566.002,ID.AM-6,19
T1566.003,ID.AM-6,19
T1598,ID.AM-6,19
T1598.001,ID.AM-6,19
T1598.002,ID.AM-6,19
T1598.003,ID.AM-6,19
T1528,ID.AM-6,19
T1539,ID.AM-6,19
T1221,ID.AM-6,19
T1111,ID.AM-6,19
T1204,ID.AM-6,19
T1204.001,ID.AM-6,19
T1204.002,ID.AM-6,19
T1072,PR.AT-1,20
T1552,PR.AT-1,20
T1552.001,PR.AT-1,20
T1072,PR.AT-2,20
T1552,PR.AT-2,20
T1552.001,PR.AT-2,20
T1072,PR.AT-4,20
T1552,PR.AT-4,20
T1552.001,PR.AT-4,20
T1072,PR.AT-5,20
T1552,PR.AT-5,20
T1552.001,PR.AT-5,20
